category,borough,bin_left_days,bin_right_days,right_edge_inclusive,row_count,density_per_day
Hazard,Bronx,0.0,1.0,False,1999,0.2789951151430565
Hazard,Bronx,1.0,2.0,False,885,0.12351709699930216
Hazard,Bronx,2.0,3.0,False,755,0.10537334263782275
Hazard,Bronx,3.0,4.0,False,524,0.07313328681088625
Hazard,Bronx,4.0,5.0,False,386,0.053872993719469645
Hazard,Bronx,5.0,6.0,False,489,0.06824842986741103
Hazard,Bronx,6.0,7.0,False,300,0.0418702023726448
Hazard,Bronx,7.0,8.0,False,201,0.028053035589672017
Hazard,Bronx,8.0,9.0,False,134,0.01870202372644801
Hazard,Bronx,9.0,10.0,False,149,0.02079553384508025
Hazard,Bronx,10.0,11.0,False,114,0.015910676901605025
Hazard,Bronx,11.0,12.0,False,109,0.015212840195394277
Hazard,Bronx,12.0,13.0,False,95,0.013258897418004187
Hazard,Bronx,13.0,14.0,False,104,0.01451500348918353
Hazard,Bronx,14.0,15.0,False,67,0.009351011863224006
Hazard,Bronx,15.0,16.0,False,69,0.009630146545708304
Hazard,Bronx,16.0,17.0,False,61,0.00851360781577111
Hazard,Bronx,17.0,18.0,False,74,0.01032798325191905
Hazard,Bronx,18.0,19.0,False,35,0.004884856943475227
Hazard,Bronx,19.0,20.0,False,49,0.0068387997208653175
Hazard,Bronx,20.0,21.0,False,60,0.00837404047452896
Hazard,Bronx,21.0,22.0,False,47,0.006559665038381019
Hazard,Bronx,22.0,23.0,False,47,0.006559665038381019
Hazard,Bronx,23.0,24.0,False,37,0.005163991625959525
Hazard,Bronx,24.0,25.0,False,39,0.005443126308443824
Hazard,Bronx,25.0,26.0,False,27,0.003768318213538032
Hazard,Bronx,26.0,27.0,False,29,0.004047452896022331
Hazard,Bronx,27.0,28.0,False,33,0.004605722260990928
Hazard,Bronx,28.0,29.0,False,23,0.003210048848569435
Hazard,Bronx,29.0,30.0,False,28,0.003907885554780182
Hazard,Bronx,30.0,31.0,False,10,0.0013956734124214933
Hazard,Bronx,31.0,32.0,False,20,0.0027913468248429866
Hazard,Bronx,32.0,33.0,False,14,0.001953942777390091
Hazard,Bronx,33.0,34.0,False,9,0.001256106071179344
Hazard,Bronx,34.0,35.0,False,24,0.003349616189811584
Hazard,Bronx,35.0,36.0,False,6,0.000837404047452896
Hazard,Bronx,36.0,37.0,False,10,0.0013956734124214933
Hazard,Bronx,37.0,38.0,False,6,0.000837404047452896
Hazard,Bronx,38.0,39.0,False,12,0.001674808094905792
Hazard,Bronx,39.0,40.0,False,3,0.000418702023726448
Hazard,Bronx,40.0,41.0,False,10,0.0013956734124214933
Hazard,Bronx,41.0,42.0,False,17,0.0023726448011165387
Hazard,Bronx,42.0,43.0,False,6,0.000837404047452896
Hazard,Bronx,43.0,44.0,False,9,0.001256106071179344
Hazard,Bronx,44.0,45.0,False,5,0.0006978367062107466
Hazard,Bronx,45.0,46.0,False,9,0.001256106071179344
Hazard,Bronx,46.0,47.0,False,7,0.0009769713886950454
Hazard,Bronx,47.0,48.0,False,7,0.0009769713886950454
Hazard,Bronx,48.0,49.0,False,7,0.0009769713886950454
Hazard,Bronx,49.0,50.0,True,5,0.0006978367062107466
Hazard,Manhattan,0.0,1.0,False,2240,0.5425042383143618
Hazard,Manhattan,1.0,2.0,False,657,0.15911843061273917
Hazard,Manhattan,2.0,3.0,False,359,0.08694599176556067
Hazard,Manhattan,3.0,4.0,False,154,0.037297166384112374
Hazard,Manhattan,4.0,5.0,False,112,0.02712521191571809
Hazard,Manhattan,5.0,6.0,False,103,0.02494550738677646
Hazard,Manhattan,6.0,7.0,False,115,0.02785178009203197
Hazard,Manhattan,7.0,8.0,False,49,0.011867280213126665
Hazard,Manhattan,8.0,9.0,False,46,0.011140712036812788
Hazard,Manhattan,9.0,10.0,False,13,0.0031484620973601355
Hazard,Manhattan,10.0,11.0,False,28,0.006781302978929523
Hazard,Manhattan,11.0,12.0,False,12,0.00290627270525551
Hazard,Manhattan,12.0,13.0,False,13,0.0031484620973601355
Hazard,Manhattan,13.0,14.0,False,14,0.0033906514894647614
Hazard,Manhattan,14.0,15.0,False,9,0.0021797045289416324
Hazard,Manhattan,15.0,16.0,False,15,0.0036328408815693874
Hazard,Manhattan,16.0,17.0,False,9,0.0021797045289416324
Hazard,Manhattan,17.0,18.0,False,14,0.0033906514894647614
Hazard,Manhattan,18.0,19.0,False,15,0.0036328408815693874
Hazard,Manhattan,19.0,20.0,False,9,0.0021797045289416324
Hazard,Manhattan,20.0,21.0,False,8,0.0019375151368370065
Hazard,Manhattan,21.0,22.0,False,10,0.002421893921046258
Hazard,Manhattan,22.0,23.0,False,10,0.002421893921046258
Hazard,Manhattan,23.0,24.0,False,6,0.001453136352627755
Hazard,Manhattan,24.0,25.0,False,5,0.001210946960523129
Hazard,Manhattan,25.0,26.0,False,6,0.001453136352627755
Hazard,Manhattan,26.0,27.0,False,4,0.0009687575684185032
Hazard,Manhattan,27.0,28.0,False,3,0.0007265681763138775
Hazard,Manhattan,28.0,29.0,False,6,0.001453136352627755
Hazard,Manhattan,29.0,30.0,False,4,0.0009687575684185032
Hazard,Manhattan,30.0,31.0,False,6,0.001453136352627755
Hazard,Manhattan,31.0,32.0,False,7,0.0016953257447323807
Hazard,Manhattan,32.0,33.0,False,3,0.0007265681763138775
Hazard,Manhattan,33.0,34.0,False,5,0.001210946960523129
Hazard,Manhattan,34.0,35.0,False,3,0.0007265681763138775
Hazard,Manhattan,35.0,36.0,False,5,0.001210946960523129
Hazard,Manhattan,36.0,37.0,False,1,0.0002421893921046258
Hazard,Manhattan,37.0,38.0,False,3,0.0007265681763138775
Hazard,Manhattan,38.0,39.0,False,1,0.0002421893921046258
Hazard,Manhattan,39.0,40.0,False,2,0.0004843787842092516
Hazard,Manhattan,40.0,41.0,False,7,0.0016953257447323807
Hazard,Manhattan,41.0,42.0,False,4,0.0009687575684185032
Hazard,Manhattan,42.0,43.0,False,3,0.0007265681763138775
Hazard,Manhattan,43.0,44.0,False,3,0.0007265681763138775
Hazard,Manhattan,44.0,45.0,False,2,0.0004843787842092516
Hazard,Manhattan,45.0,46.0,False,3,0.0007265681763138775
Hazard,Manhattan,46.0,47.0,False,3,0.0007265681763138775
Hazard,Manhattan,47.0,48.0,False,6,0.001453136352627755
Hazard,Manhattan,48.0,49.0,False,11,0.002664083313150884
Hazard,Manhattan,49.0,50.0,True,3,0.0007265681763138775
Illegal Tree Damage,Bronx,0.0,1.0,False,48,0.07250755287009064
Illegal Tree Damage,Bronx,1.0,2.0,False,31,0.04682779456193353
Illegal Tree Damage,Bronx,2.0,3.0,False,28,0.04229607250755287
Illegal Tree Damage,Bronx,3.0,4.0,False,21,0.03172205438066465
Illegal Tree Damage,Bronx,4.0,5.0,False,27,0.04078549848942598
Illegal Tree Damage,Bronx,5.0,6.0,False,33,0.04984894259818731
Illegal Tree Damage,Bronx,6.0,7.0,False,17,0.0256797583081571
Illegal Tree Damage,Bronx,7.0,8.0,False,25,0.0377643504531722
Illegal Tree Damage,Bronx,8.0,9.0,False,16,0.02416918429003021
Illegal Tree Damage,Bronx,9.0,10.0,False,25,0.0377643504531722
Illegal Tree Damage,Bronx,10.0,11.0,False,14,0.021148036253776436
Illegal Tree Damage,Bronx,11.0,12.0,False,19,0.028700906344410877
Illegal Tree Damage,Bronx,12.0,13.0,False,22,0.03323262839879154
Illegal Tree Damage,Bronx,13.0,14.0,False,13,0.019637462235649546
Illegal Tree Damage,Bronx,14.0,15.0,False,14,0.021148036253776436
Illegal Tree Damage,Bronx,15.0,16.0,False,18,0.027190332326283987
Illegal Tree Damage,Bronx,16.0,17.0,False,10,0.015105740181268883
Illegal Tree Damage,Bronx,17.0,18.0,False,15,0.022658610271903322
Illegal Tree Damage,Bronx,18.0,19.0,False,13,0.019637462235649546
Illegal Tree Damage,Bronx,19.0,20.0,False,11,0.01661631419939577
Illegal Tree Damage,Bronx,20.0,21.0,False,14,0.021148036253776436
Illegal Tree Damage,Bronx,21.0,22.0,False,11,0.01661631419939577
Illegal Tree Damage,Bronx,22.0,23.0,False,10,0.015105740181268883
Illegal Tree Damage,Bronx,23.0,24.0,False,7,0.010574018126888218
Illegal Tree Damage,Bronx,24.0,25.0,False,9,0.013595166163141994
Illegal Tree Damage,Bronx,25.0,26.0,False,12,0.01812688821752266
Illegal Tree Damage,Bronx,26.0,27.0,False,17,0.0256797583081571
Illegal Tree Damage,Bronx,27.0,28.0,False,11,0.01661631419939577
Illegal Tree Damage,Bronx,28.0,29.0,False,12,0.01812688821752266
Illegal Tree Damage,Bronx,29.0,30.0,False,7,0.010574018126888218
Illegal Tree Damage,Bronx,30.0,31.0,False,7,0.010574018126888218
Illegal Tree Damage,Bronx,31.0,32.0,False,2,0.0030211480362537764
Illegal Tree Damage,Bronx,32.0,33.0,False,6,0.00906344410876133
Illegal Tree Damage,Bronx,33.0,34.0,False,11,0.01661631419939577
Illegal Tree Damage,Bronx,34.0,35.0,False,3,0.004531722054380665
Illegal Tree Damage,Bronx,35.0,36.0,False,3,0.004531722054380665
Illegal Tree Damage,Bronx,36.0,37.0,False,4,0.006042296072507553
Illegal Tree Damage,Bronx,37.0,38.0,False,3,0.004531722054380665
Illegal Tree Damage,Bronx,38.0,39.0,False,7,0.010574018126888218
Illegal Tree Damage,Bronx,39.0,40.0,False,8,0.012084592145015106
Illegal Tree Damage,Bronx,40.0,41.0,False,10,0.015105740181268883
Illegal Tree Damage,Bronx,41.0,42.0,False,7,0.010574018126888218
Illegal Tree Damage,Bronx,42.0,43.0,False,7,0.010574018126888218
Illegal Tree Damage,Bronx,43.0,44.0,False,9,0.013595166163141994
Illegal Tree Damage,Bronx,44.0,45.0,False,5,0.0075528700906344415
Illegal Tree Damage,Bronx,45.0,46.0,False,10,0.015105740181268883
Illegal Tree Damage,Bronx,46.0,47.0,False,13,0.019637462235649546
Illegal Tree Damage,Bronx,47.0,48.0,False,10,0.015105740181268883
Illegal Tree Damage,Bronx,48.0,49.0,False,2,0.0030211480362537764
Illegal Tree Damage,Bronx,49.0,50.0,True,5,0.0075528700906344415
Illegal Tree Damage,Manhattan,0.0,1.0,False,151,0.13280562884784522
Illegal Tree Damage,Manhattan,1.0,2.0,False,135,0.11873350923482849
Illegal Tree Damage,Manhattan,2.0,3.0,False,99,0.0870712401055409
Illegal Tree Damage,Manhattan,3.0,4.0,False,72,0.0633245382585752
Illegal Tree Damage,Manhattan,4.0,5.0,False,81,0.0712401055408971
Illegal Tree Damage,Manhattan,5.0,6.0,False,58,0.051011433597185574
Illegal Tree Damage,Manhattan,6.0,7.0,False,58,0.051011433597185574
Illegal Tree Damage,Manhattan,7.0,8.0,False,30,0.026385224274406333
Illegal Tree Damage,Manhattan,8.0,9.0,False,32,0.028144239226033423
Illegal Tree Damage,Manhattan,9.0,10.0,False,54,0.047493403693931395
Illegal Tree Damage,Manhattan,10.0,11.0,False,26,0.022867194371152155
Illegal Tree Damage,Manhattan,11.0,12.0,False,43,0.03781882145998241
Illegal Tree Damage,Manhattan,12.0,13.0,False,21,0.018469656992084433
Illegal Tree Damage,Manhattan,13.0,14.0,False,32,0.028144239226033423
Illegal Tree Damage,Manhattan,14.0,15.0,False,37,0.032541776605101144
Illegal Tree Damage,Manhattan,15.0,16.0,False,12,0.010554089709762533
Illegal Tree Damage,Manhattan,16.0,17.0,False,17,0.014951627088830254
Illegal Tree Damage,Manhattan,17.0,18.0,False,7,0.006156552330694811
Illegal Tree Damage,Manhattan,18.0,19.0,False,11,0.009674582233948988
Illegal Tree Damage,Manhattan,19.0,20.0,False,12,0.010554089709762533
Illegal Tree Damage,Manhattan,20.0,21.0,False,14,0.012313104661389622
Illegal Tree Damage,Manhattan,21.0,22.0,False,13,0.011433597185576077
Illegal Tree Damage,Manhattan,22.0,23.0,False,5,0.0043975373790677225
Illegal Tree Damage,Manhattan,23.0,24.0,False,7,0.006156552330694811
Illegal Tree Damage,Manhattan,24.0,25.0,False,7,0.006156552330694811
Illegal Tree Damage,Manhattan,25.0,26.0,False,10,0.008795074758135445
Illegal Tree Damage,Manhattan,26.0,27.0,False,3,0.002638522427440633
Illegal Tree Damage,Manhattan,27.0,28.0,False,7,0.006156552330694811
Illegal Tree Damage,Manhattan,28.0,29.0,False,7,0.006156552330694811
Illegal Tree Damage,Manhattan,29.0,30.0,False,7,0.006156552330694811
Illegal Tree Damage,Manhattan,30.0,31.0,False,8,0.007036059806508356
Illegal Tree Damage,Manhattan,31.0,32.0,False,7,0.006156552330694811
Illegal Tree Damage,Manhattan,32.0,33.0,False,1,0.0008795074758135445
Illegal Tree Damage,Manhattan,33.0,34.0,False,5,0.0043975373790677225
Illegal Tree Damage,Manhattan,34.0,35.0,False,3,0.002638522427440633
Illegal Tree Damage,Manhattan,35.0,36.0,False,9,0.0079155672823219
Illegal Tree Damage,Manhattan,36.0,37.0,False,2,0.001759014951627089
Illegal Tree Damage,Manhattan,37.0,38.0,False,8,0.007036059806508356
Illegal Tree Damage,Manhattan,38.0,39.0,False,1,0.0008795074758135445
Illegal Tree Damage,Manhattan,39.0,40.0,False,2,0.001759014951627089
Illegal Tree Damage,Manhattan,40.0,41.0,False,3,0.002638522427440633
Illegal Tree Damage,Manhattan,41.0,42.0,False,3,0.002638522427440633
Illegal Tree Damage,Manhattan,42.0,43.0,False,2,0.001759014951627089
Illegal Tree Damage,Manhattan,43.0,44.0,False,0,0.0
Illegal Tree Damage,Manhattan,44.0,45.0,False,1,0.0008795074758135445
Illegal Tree Damage,Manhattan,45.0,46.0,False,2,0.001759014951627089
Illegal Tree Damage,Manhattan,46.0,47.0,False,3,0.002638522427440633
Illegal Tree Damage,Manhattan,47.0,48.0,False,1,0.0008795074758135445
Illegal Tree Damage,Manhattan,48.0,49.0,False,2,0.001759014951627089
Illegal Tree Damage,Manhattan,49.0,50.0,True,6,0.005277044854881266
Other,Bronx,0.0,1.0,False,16,0.06896551724137931
Other,Bronx,1.0,2.0,False,17,0.07327586206896551
Other,Bronx,2.0,3.0,False,8,0.034482758620689655
