category,borough,matching_rows,unique_service_requests,repeated_rows,valid_delay_rows,negative_delay_rows,displayed_delay_rows,above_display_range_rows,display_upper_edge_days,first_day_density,median_displayed_delay_days,mean_displayed_delay_days,documented_sla_days
Hazard,Bronx,7814,6770,1044,7814,498,7165,151,50,0.2789951151430565,2.944988425925926,6.167481442712775,14.0
Hazard,Manhattan,4895,3984,911,4895,623,4129,143,50,0.5425042383143618,0.882175925925926,3.1217621156364648,14.0
Illegal Tree Damage,Bronx,1055,954,101,1055,42,662,351,50,0.07250755287009064,13.592106481481482,17.410445759203313,8.0
Illegal Tree Damage,Manhattan,1500,1126,374,1500,95,1137,268,50,0.13280562884784522,5.816597222222223,9.215810276800548,8.0
Other,Bronx,356,315,41,356,38,232,86,50,0.06896551724137931,12.553993055555555,15.878300357199873,
Other,Manhattan,199,146,53,199,28,138,33,50,0.15217391304347827,3.6347222222222224,9.541672118223294,
Prune,Bronx,4679,4175,504,4679,165,3229,1285,50,0.03995044905543512,12.613391203703705,16.96514611865272,
Prune,Manhattan,3707,2338,1369,3707,470,2691,546,50,0.11408398364920104,6.997951388888889,12.169588498871411,
Remove Tree,Bronx,2772,2310,462,2772,199,2136,437,50,0.07256554307116105,10.919218749999999,14.533739081573382,
Remove Tree,Manhattan,2860,2223,637,2860,259,2147,454,50,0.1481136469492315,4.73125,8.30449858437268,
Root/Sewer/Sidewalk,Bronx,2182,2132,50,2182,8,713,1461,50,0.03927068723702665,12.9090625,16.79681620435302,
Root/Sewer/Sidewalk,Manhattan,109,91,18,109,3,41,65,50,0.0,14.974930555555556,17.816740345528455,
