year,week,merged_row_count
2019,1,695
2019,2,900
2019,3,917
2019,4,630
2019,5,635
2019,6,571
2019,7,629
2019,8,517
2019,9,1062
2019,10,783
2019,11,589
2019,12,576
2019,13,632
2019,14,601
2019,15,561
2019,16,822
2019,17,904
2019,18,917
2019,19,850
2019,20,855
2019,21,1273
2019,22,1013
2019,23,1207
2019,24,1435
2019,25,1273
2019,26,1800
2019,27,1304
2019,28,1375
2019,29,1826
2019,30,1173
2019,31,1105
2019,32,1363
2019,33,1341
2019,34,1603
2019,35,1571
2019,36,1277
2019,37,1144
2019,38,1438
2019,39,1006
2019,40,658
2019,41,592
2019,42,1443
2019,43,821
2019,44,1477
2019,45,860
2019,46,716
2019,47,936
2019,48,645
2019,49,682
2019,50,920
2019,51,845
2019,52,642
2020,1,601
2020,2,812
2020,3,584
2020,4,755
2020,5,787
2020,6,1068
2020,7,665
2020,8,480
2020,9,792
2020,10,775
2020,11,951
2020,12,637
2020,13,474
2020,14,479
2020,15,764
2020,16,1568
2020,17,584
2020,18,838
2020,19,1124
2020,20,1195
2020,21,1348
2020,22,1014
2020,23,1534
2020,24,1832
2020,25,1594
2020,26,1537
2020,27,3506
2020,28,3386
2020,29,1942
2020,30,2569
2020,31,2237
2020,32,20857
2020,33,12518
2020,34,916
2020,35,3307
2020,36,2735
2020,37,3642
2020,38,4386
2020,39,1789
2020,40,1776
2020,41,1762
2020,42,1138
2020,43,1151
2020,44,1188
2020,45,1163
2020,46,856
2020,47,996
2020,48,916
2020,49,1296
2020,50,1181
2020,51,959
2020,52,837
2020,53,591
2021,1,881
2021,2,749
2021,3,736
2021,4,849
2021,5,264
2021,6,564
2021,7,435
2021,8,643
2021,9,768
2021,10,736
2021,11,1245
2021,12,1320
2021,13,1040
2021,14,1226
2021,15,1134
2021,16,1484
2021,17,1528
2021,18,1405
2021,19,1332
2021,20,1170
2021,21,1385
2021,22,1347
2021,23,1305
2021,24,1394
2021,25,1715
2021,26,1345
2021,27,3522
2021,28,1418
2021,29,1339
2021,30,1547
2021,31,1170
2021,32,1197
2021,33,1413
2021,34,1166
2021,35,1853
2021,36,883
2021,37,1104
2021,38,1157
2021,39,1116
2021,40,1265
2021,41,880
2021,42,1044
2021,43,1224
2021,44,710
2021,45,917
2021,46,896
2021,47,697
2021,48,957
2021,49,970
2021,50,924
2021,51,860
2021,52,615
2022,1,1012
2022,2,924
2022,3,807
2022,4,987
2022,5,765
2022,6,759
2022,7,1030
2022,8,852
2022,9,1220
2022,10,1263
2022,11,1019
2022,12,704
2022,13,757
2022,14,709
2022,15,962
2022,16,703
2022,17,719
2022,18,762
2022,19,686
2022,20,964
2022,21,1002
2022,22,818
2022,23,1706
2022,24,1445
2022,25,1055
2022,26,1153
2022,27,1209
2022,28,1345
2022,29,1748
2022,30,1400
2022,31,1485
2022,32,1241
2022,33,1061
2022,34,1277
2022,35,1432
2022,36,1311
2022,37,1378
2022,38,1380
2022,39,1141
2022,40,1332
2022,41,760
2022,42,1076
2022,43,1066
2022,44,913
2022,45,669
2022,46,744
2022,47,726
2022,48,1158
2022,49,981
2022,50,1053
2022,51,1023
2022,52,413
