year,week,merged_row_count
2019,1,635
2019,2,805
2019,3,618
2019,4,720
2019,5,844
2019,6,953
2019,7,738
2019,8,753
2019,9,1625
2019,10,1008
2019,11,1099
2019,12,1290
2019,13,1276
2019,14,1390
2019,15,1297
2019,16,1864
2019,17,1845
2019,18,1898
2019,19,2281
2019,20,2213
2019,21,2966
2019,22,2410
2019,23,2978
2019,24,2701
2019,25,2897
2019,26,2600
2019,27,2182
2019,28,2270
2019,29,2491
2019,30,2467
2019,31,2810
2019,32,2839
2019,33,2596
2019,34,3031
2019,35,2379
2019,36,2457
2019,37,3443
2019,38,2360
2019,39,1981
2019,40,1558
2019,41,1701
2019,42,2997
2019,43,1801
2019,44,2616
2019,45,1746
2019,46,1032
2019,47,1122
2019,48,828
2019,49,843
2019,50,833
2019,51,751
2019,52,629
2020,1,679
2020,2,1035
2020,3,1158
2020,4,861
2020,5,999
2020,6,1336
2020,7,1152
2020,8,836
2020,9,1251
2020,10,1195
2020,11,1100
2020,12,783
2020,13,722
2020,14,535
2020,15,905
2020,16,2296
2020,17,919
2020,18,1420
2020,19,1507
2020,20,1784
2020,21,2133
2020,22,2382
2020,23,2869
2020,24,3003
2020,25,2790
2020,26,3105
2020,27,5724
2020,28,4829
2020,29,3500
2020,30,3807
2020,31,3507
2020,32,41804
2020,33,11336
2020,34,5160
2020,35,6023
2020,36,3362
2020,37,2874
2020,38,2800
2020,39,2326
2020,40,2404
2020,41,2165
2020,42,1757
2020,43,1839
2020,44,1780
2020,45,1785
2020,46,1273
2020,47,1650
2020,48,948
2020,49,1219
2020,50,831
2020,51,588
2020,52,938
2020,53,778
2021,1,960
2021,2,946
2021,3,751
2021,4,827
2021,5,422
2021,6,484
2021,7,361
2021,8,590
2021,9,1137
2021,10,1268
2021,11,1264
2021,12,1709
2021,13,1463
2021,14,1730
2021,15,1948
2021,16,2046
2021,17,2735
2021,18,2061
2021,19,2283
2021,20,2619
2021,21,2830
2021,22,3096
2021,23,3172
2021,24,2650
2021,25,2575
2021,26,2611
2021,27,6063
2021,28,3271
2021,29,2783
2021,30,2883
2021,31,2372
2021,32,2367
2021,33,2507
2021,34,2716
2021,35,3495
2021,36,2247
2021,37,2349
2021,38,2423
2021,39,2014
2021,40,1696
2021,41,2484
2021,42,1773
2021,43,2457
2021,44,1226
2021,45,2014
2021,46,1323
2021,47,804
2021,48,950
2021,49,1263
2021,50,935
2021,51,566
2021,52,673
2022,1,662
2022,2,633
2022,3,1255
2022,4,714
2022,5,549
2022,6,852
2022,7,1107
2022,8,1280
2022,9,1079
2022,10,1747
2022,11,1494
2022,12,1629
2022,13,1460
2022,14,1801
2022,15,1395
2022,16,1809
2022,17,1755
2022,18,1794
2022,19,2127
2022,20,2519
2022,21,2729
2022,22,2728
2022,23,3272
2022,24,3170
2022,25,2686
2022,26,2496
2022,27,2231
2022,28,2575
2022,29,2827
2022,30,2764
2022,31,2522
2022,32,2331
2022,33,2485
2022,34,2173
2022,35,2387
2022,36,2182
2022,37,2425
2022,38,2865
2022,39,2427
2022,40,2817
2022,41,2454
2022,42,2041
2022,43,1422
2022,44,1686
2022,45,1502
2022,46,1269
2022,47,859
2022,48,1596
2022,49,1126
2022,50,1133
2022,51,1528
2022,52,922
