arm_name,budget_group,search_mode,global_batch,observations,target_observations,endpoint_best_loss,hypervolume_pct_final,elapsed_hours
d100_median_borough_efficiency,borough,efficiency,0,64,3200,27.179906666666668,42.1371039950322,0.0
d100_median_borough_efficiency,borough,efficiency,1,128,3200,27.179906666666668,42.1371039950322,0.24009495650832025
d100_median_borough_efficiency,borough,efficiency,2,192,3200,27.179906666666668,42.1371039950322,0.4075536973488569
d100_median_borough_efficiency,borough,efficiency,3,256,3200,26.285931333333338,43.02327936670763,0.6816312774538528
d100_median_borough_efficiency,borough,efficiency,4,320,3200,25.305870666666664,43.968198962651336,0.9933137769349721
d100_median_borough_efficiency,borough,efficiency,5,384,3200,24.65363733333333,44.85757331509538,1.2909442989844118
d100_median_borough_efficiency,borough,efficiency,6,448,3200,24.044585333333327,45.77822101478681,1.5705590398502278
d100_median_borough_efficiency,borough,efficiency,7,512,3200,23.82724466666667,46.01163251038211,2.0590234408066155
d100_median_borough_efficiency,borough,efficiency,8,576,3200,23.483661333333337,46.781544974536104,2.4740560226438295
d100_median_borough_efficiency,borough,efficiency,9,640,3200,23.438358,46.964107301399004,2.8333934426282776
d100_median_borough_efficiency,borough,efficiency,10,704,3200,23.225690000000004,47.3734383415148,4.575649405132701
d100_median_borough_efficiency,borough,efficiency,11,768,3200,23.106018666666664,47.52976961362707,5.200224749249658
d100_median_borough_efficiency,borough,efficiency,12,832,3200,22.459164666666663,48.90719550292623,5.932454810304367
d100_median_borough_efficiency,borough,efficiency,13,896,3200,21.647087333333328,53.553848868667544,6.6194935569604665
d100_median_borough_efficiency,borough,efficiency,14,960,3200,21.28581666666667,55.85741529538941,7.269686887314633
d100_median_borough_efficiency,borough,efficiency,15,1024,3200,20.863979333333337,62.423174750792874,8.2934309343463
d100_median_borough_efficiency,borough,efficiency,16,1088,3200,19.877376,64.16270068318288,9.307634831451578
d100_median_borough_efficiency,borough,efficiency,17,1152,3200,18.959713333333337,66.75458020170947,10.08770520087574
d100_median_borough_efficiency,borough,efficiency,18,1216,3200,16.477269333333332,73.02451660420293,11.728177621890726
d100_median_borough_efficiency,borough,efficiency,19,1280,3200,16.35285533333333,73.30394528860623,12.611027084760426
d100_median_borough_efficiency,borough,efficiency,20,1344,3200,16.18706933333333,73.83977821739859,14.428543843361808
d100_median_borough_efficiency,borough,efficiency,21,1408,3200,15.990016,74.20318132820302,15.382352114269581
d100_median_borough_efficiency,borough,efficiency,22,1472,3200,15.990016,74.20794235166242,16.961385817248214
d100_median_borough_efficiency,borough,efficiency,23,1536,3200,15.990016,74.23343270856941,19.526358887457658
