borough,role,bin_index,bin_left_days,bin_right_days,bin_label,inspected_delay_count,terminal_uninspected_count,display_count,all_request_count,display_share_percent
Bronx,borough_most_efficient,0,0,1,0 to <1 days,3892,0,3892,7602,51.197053406998158
Bronx,borough_most_efficient,1,1,2,1 to <2 days,1572,0,1572,7602,20.678768745067089
Bronx,borough_most_efficient,2,2,3,2 to <3 days,777,0,777,7602,10.220994475138122
Bronx,borough_most_efficient,3,3,4,3 to <4 days,276,0,276,7602,3.6306235201262824
Bronx,borough_most_efficient,4,4,5,4 to <5 days,177,0,177,7602,2.3283346487766376
Bronx,borough_most_efficient,5,5,6,5 to <6 days,142,0,142,7602,1.8679294922388845
Bronx,borough_most_efficient,6,6,7,6 to <7 days,121,0,121,7602,1.5916863983162326
Bronx,borough_most_efficient,7,7,8,7 to <8 days,88,0,88,7602,1.1575901078663509
Bronx,borough_most_efficient,8,8,9,8 to <9 days,58,0,58,7602,0.7629571165482768
Bronx,borough_most_efficient,9,9,10,9 to <10 days,50,0,50,7602,0.65772165219679035
Bronx,borough_most_efficient,10,10,11,10 to <11 days,43,0,43,7602,0.56564062088923972
Bronx,borough_most_efficient,11,11,12,11 to <12 days,46,0,46,7602,0.60510392002104707
Bronx,borough_most_efficient,12,12,13,12 to <13 days,16,0,16,7602,0.2104709287029729
Bronx,borough_most_efficient,13,13,14,13 to <14 days,8,0,8,7602,0.10523546435148645
Bronx,borough_most_efficient,14,14,15,14 to <15 days,0,0,0,7602,0
Bronx,borough_most_efficient,15,15,16,15 to <16 days,0,0,0,7602,0
Bronx,borough_most_efficient,16,16,17,16 to <17 days,0,0,0,7602,0
Bronx,borough_most_efficient,17,17,18,17 to <18 days,0,0,0,7602,0
Bronx,borough_most_efficient,18,18,19,18 to <19 days,0,0,0,7602,0
Bronx,borough_most_efficient,19,19,20,19 to <20 days,0,0,0,7602,0
Bronx,borough_most_efficient,20,20,,>=20 days or not inspected,0,336,336,7602,4.4198895027624312
Brooklyn,borough_most_efficient,0,0,1,0 to <1 days,12428,0,12428,26091,47.633283507722972
Brooklyn,borough_most_efficient,1,1,2,1 to <2 days,6300,0,6300,26091,24.146257330113833
Brooklyn,borough_most_efficient,2,2,3,2 to <3 days,2982,0,2982,26091,11.429228469587214
Brooklyn,borough_most_efficient,3,3,4,3 to <4 days,1918,0,1918,26091,7.3511938982791003
Brooklyn,borough_most_efficient,4,4,5,4 to <5 days,1369,0,1369,26091,5.2470200452263231
Brooklyn,borough_most_efficient,5,5,6,5 to <6 days,533,0,533,26091,2.0428500249128052
Brooklyn,borough_most_efficient,6,6,7,6 to <7 days,149,0,149,26091,0.5710781495534859
Brooklyn,borough_most_efficient,7,7,8,7 to <8 days,59,0,59,26091,0.22613161626614542
Brooklyn,borough_most_efficient,8,8,9,8 to <9 days,13,0,13,26091,0.049825610363726958
Brooklyn,borough_most_efficient,9,9,10,9 to <10 days,4,0,4,26091,0.015330957034992909
Brooklyn,borough_most_efficient,10,10,11,10 to <11 days,4,0,4,26091,0.015330957034992909
Brooklyn,borough_most_efficient,11,11,12,11 to <12 days,2,0,2,26091,0.0076654785174964544
Brooklyn,borough_most_efficient,12,12,13,12 to <13 days,1,0,1,26091,0.0038327392587482272
Brooklyn,borough_most_efficient,13,13,14,13 to <14 days,0,0,0,26091,0
