BoroughCode,budget_group,n_rows,n_all_requests,n_inspected_delay_rows,n_end_backlog,n_end_backlog_at_or_above_display_cap,n_end_backlog_below_display_cap,n_dropped,n_uninspected,n_terminal_uninspected_displayed,n_eventual_historical_noninspection,median_delay_days,max_delay_days,inspected_rows_at_or_above_display_cap,rows_at_or_above_display_cap,display_terminal_outcome_count,display_terminal_outcome_share_percent,displayed_request_share_percent,display_overflow_threshold_days,display_overflow_bin_label,display_terminal_category_definition,histogram_units,display_y_ceiling_percent
Bronx,city,7602,7602,7546,0,0,0,56,56,56,0,0.0,8.0,0,56,56,0.7366482504604052,100.0,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Bronx,borough,7602,7602,7266,0,0,0,336,336,336,0,0.0,13.0,0,336,336,4.419889502762431,100.0,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Bronx,historical,2534,2534,2089,445,0,0,0,445,445,445,2.0,826.0,169,614,614,24.230465666929756,100.0,20.0,>=20 days or not inspected,inspected delay at least 20 days or eventual historical noninspection,percent_of_within_borough_hazard_requests,100.0
Brooklyn,city,26091,26091,26002,0,0,0,89,89,89,0,1.0,19.0,0,89,89,0.3411137940285922,100.0,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Brooklyn,borough,26091,26091,25762,0,0,0,329,329,329,0,1.0,12.0,0,329,329,1.2609712161281668,100.0,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Brooklyn,historical,8697,8697,7449,1248,0,0,0,1248,1248,1248,4.0,1399.0,2411,3659,3659,42.07197884327929,100.0,20.0,>=20 days or not inspected,inspected delay at least 20 days or eventual historical noninspection,percent_of_within_borough_hazard_requests,100.0
Manhattan,city,4617,4617,4591,0,0,0,26,26,26,0,0.0,4.0,0,26,26,0.5631362356508556,100.0,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Manhattan,borough,4617,4617,4463,0,0,0,154,154,154,0,1.0,13.0,0,154,154,3.3354992419319904,100.0,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Manhattan,historical,1539,1539,1125,414,0,0,0,414,414,414,1.0,547.0,38,452,452,29.369720597790774,100.0,20.0,>=20 days or not inspected,inspected delay at least 20 days or eventual historical noninspection,percent_of_within_borough_hazard_requests,100.0
Queens,city,33438,33438,33438,0,0,0,0,0,0,0,2.0,32.0,667,667,667,1.9947365273042645,100.0,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Queens,borough,33241,33438,33082,356,159,197,0,356,159,0,2.0,60.0,4421,4580,4580,13.69699144685687,99.41084993121598,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Queens,historical,11146,11146,9388,1758,0,0,0,1758,1758,1758,1.5,1378.0,1403,3161,3161,28.35994975776063,100.0,20.0,>=20 days or not inspected,inspected delay at least 20 days or eventual historical noninspection,percent_of_within_borough_hazard_requests,100.0
Staten Island,city,9405,9405,9332,0,0,0,73,73,73,0,0.0,12.0,0,73,73,0.7761828814460393,100.0,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Staten Island,borough,9405,9405,9405,0,0,0,0,0,0,0,1.0,28.0,10,10,10,0.1063264221158958,100.0,20.0,>=20 days or not inspected,"inspected delay at least 20 days, terminal backlog age at least 20 days, or dropped",percent_of_within_borough_hazard_requests,100.0
Staten Island,historical,3135,3135,2194,941,0,0,0,941,941,941,1.0,1011.0,79,1020,1020,32.535885167464116,100.0,20.0,>=20 days or not inspected,inspected delay at least 20 days or eventual historical noninspection,percent_of_within_borough_hazard_requests,100.0
