role,policy_id,vector_hash,budget_group,display_role,paper_role,borough,category,borough_budget_share,inspection_priority_weight,per_review_retention_probability
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Bronx,Hazard,0.09159239337747935,0.36701455567126967,0.247645774118229
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Bronx,Illegal Tree Damage,0.09159239337747935,0.29320058215977024,0.7538517992772995
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Bronx,Other,0.09159239337747935,0.26872442856019574,0.42122957074810874
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Bronx,Prune,0.09159239337747935,0.00018350727783563483,0.1798625834950812
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Bronx,Remove Tree,0.09159239337747935,0.07069341905309295,0.33146196696681035
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Bronx,Root/Sewer/Sidewalk,0.09159239337747935,0.00018350727783563483,0.1
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Brooklyn,Hazard,0.3103773295251716,0.20661206224004572,0.1
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Brooklyn,Illegal Tree Damage,0.3103773295251716,0.4520287421821372,0.38434761803596607
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Brooklyn,Other,0.3103773295251716,0.3040241428836558,1.0
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Brooklyn,Prune,0.3103773295251716,0.0002501699507983149,0.1
