role,policy_id,vector_hash,GEOID,cost_delay,cost_drop,total_cost
historical_2019,historical_2019,,36005000200,1292.0,8400.0,9692.0
historical_2019,historical_2019,,36005000400,936.0,2600.0,3536.0
historical_2019,historical_2019,,36005001600,628.0,4800.0,5428.0
historical_2019,historical_2019,,36005001901,906.0,0.0,906.0
historical_2019,historical_2019,,36005001902,1408.0,1600.0,3008.0
historical_2019,historical_2019,,36005001903,120.0,0.0,120.0
historical_2019,historical_2019,,36005002001,430.0,4800.0,5230.0
historical_2019,historical_2019,,36005002002,880.0,5200.0,6080.0
historical_2019,historical_2019,,36005002300,96.0,2400.0,2496.0
historical_2019,historical_2019,,36005002400,10.0,0.0,10.0
historical_2019,historical_2019,,36005002500,380.0,0.0,380.0
historical_2019,historical_2019,,36005002701,60.0,0.0,60.0
historical_2019,historical_2019,,36005002702,160.0,8200.0,8360.0
historical_2019,historical_2019,,36005002800,52.0,0.0,52.0
historical_2019,historical_2019,,36005003100,48.0,0.0,48.0
historical_2019,historical_2019,,36005003300,2036.0,0.0,2036.0
historical_2019,historical_2019,,36005003500,1524.0,1000.0,2524.0
historical_2019,historical_2019,,36005003700,232.0,3200.0,3432.0
historical_2019,historical_2019,,36005003800,140.0,0.0,140.0
historical_2019,historical_2019,,36005003900,1734.0,4400.0,6134.0
historical_2019,historical_2019,,36005004001,660.0,1000.0,1660.0
historical_2019,historical_2019,,36005004100,742.0,1200.0,1942.0
historical_2019,historical_2019,,36005004200,176.0,0.0,176.0
historical_2019,historical_2019,,36005004300,1188.0,400.0,1588.0
historical_2019,historical_2019,,36005004400,768.0,0.0,768.0
historical_2019,historical_2019,,36005004600,602.0,1000.0,1602.0
historical_2019,historical_2019,,36005004800,80.0,1800.0,1880.0
historical_2019,historical_2019,,36005005001,1764.0,800.0,2564.0
historical_2019,historical_2019,,36005005002,272.0,400.0,672.0
historical_2019,historical_2019,,36005005100,606.0,0.0,606.0
historical_2019,historical_2019,,36005005200,2386.0,2000.0,4386.0
historical_2019,historical_2019,,36005005400,1000.0,3000.0,4000.0
historical_2019,historical_2019,,36005005600,3652.0,400.0,4052.0
historical_2019,historical_2019,,36005005902,2352.0,0.0,2352.0
historical_2019,historical_2019,,36005006000,340.0,0.0,340.0
historical_2019,historical_2019,,36005006100,50.0,400.0,450.0
historical_2019,historical_2019,,36005006200,476.0,1000.0,1476.0
historical_2019,historical_2019,,36005006301,2254.0,3000.0,5254.0
historical_2019,historical_2019,,36005006302,1220.0,1200.0,2420.0
historical_2019,historical_2019,,36005006400,1796.0,0.0,1796.0
historical_2019,historical_2019,,36005006500,1020.0,800.0,1820.0
historical_2019,historical_2019,,36005006700,136.0,5600.0,5736.0
historical_2019,historical_2019,,36005006800,2534.0,1400.0,3934.0
historical_2019,historical_2019,,36005006900,458.0,1400.0,1858.0
historical_2019,historical_2019,,36005007000,2082.0,7600.0,9682.0
historical_2019,historical_2019,,36005007100,58.0,0.0,58.0
historical_2019,historical_2019,,36005007200,1514.0,3600.0,5114.0
historical_2019,historical_2019,,36005007300,126.0,2600.0,2726.0
historical_2019,historical_2019,,36005007400,6038.0,800.0,6838.0
historical_2019,historical_2019,,36005007500,2164.0,3600.0,5764.0
historical_2019,historical_2019,,36005007600,1004.0,400.0,1404.0
historical_2019,historical_2019,,36005007700,2444.0,1400.0,3844.0
historical_2019,historical_2019,,36005007800,1748.0,7600.0,9348.0
historical_2019,historical_2019,,36005007900,32.0,800.0,832.0
historical_2019,historical_2019,,36005008300,144.0,800.0,944.0
historical_2019,historical_2019,,36005008400,1256.0,2400.0,3656.0
historical_2019,historical_2019,,36005008500,536.0,2400.0,2936.0
historical_2019,historical_2019,,36005008600,30.0,400.0,430.0
historical_2019,historical_2019,,36005008700,1028.0,1000.0,2028.0
historical_2019,historical_2019,,36005008900,1486.0,0.0,1486.0
historical_2019,historical_2019,,36005009000,576.0,1800.0,2376.0
historical_2019,historical_2019,,36005009200,6260.0,1200.0,7460.0
historical_2019,historical_2019,,36005009301,1674.0,3200.0,4874.0
historical_2019,historical_2019,,36005009302,2932.0,0.0,2932.0
historical_2019,historical_2019,,36005009600,3328.0,9000.0,12328.0
historical_2019,historical_2019,,36005009800,2718.0,5000.0,7718.0
historical_2019,historical_2019,,36005011000,880.0,2000.0,2880.0
historical_2019,historical_2019,,36005011502,1844.0,1800.0,3644.0
historical_2019,historical_2019,,36005011701,2164.0,2000.0,4164.0
historical_2019,historical_2019,,36005011800,4920.0,7400.0,12320.0
historical_2019,historical_2019,,36005011900,1180.0,400.0,1580.0
historical_2019,historical_2019,,36005012101,1568.0,0.0,1568.0
historical_2019,historical_2019,,36005012102,276.0,800.0,1076.0
historical_2019,historical_2019,,36005012300,2910.0,400.0,3310.0
historical_2019,historical_2019,,36005012500,2902.0,4200.0,7102.0
historical_2019,historical_2019,,36005012701,5372.0,0.0,5372.0
historical_2019,historical_2019,,36005012901,520.0,0.0,520.0
historical_2019,historical_2019,,36005013000,2048.0,1600.0,3648.0
historical_2019,historical_2019,,36005013100,22122.0,1600.0,23722.0
historical_2019,historical_2019,,36005013200,12710.0,9800.0,22510.0
historical_2019,historical_2019,,36005013300,532.0,800.0,1332.0
historical_2019,historical_2019,,36005013500,198.0,0.0,198.0
historical_2019,historical_2019,,36005013800,1008.0,0.0,1008.0
historical_2019,historical_2019,,36005014100,832.0,800.0,1632.0
historical_2019,historical_2019,,36005014300,118.0,0.0,118.0
historical_2019,historical_2019,,36005014400,1434.0,1000.0,2434.0
historical_2019,historical_2019,,36005014500,1290.0,1000.0,2290.0
historical_2019,historical_2019,,36005014701,420.0,0.0,420.0
historical_2019,historical_2019,,36005014702,68.0,0.0,68.0
historical_2019,historical_2019,,36005014900,882.0,3000.0,3882.0
historical_2019,historical_2019,,36005015100,476.0,4000.0,4476.0
historical_2019,historical_2019,,36005015200,6996.0,3800.0,10796.0
historical_2019,historical_2019,,36005015300,3856.0,2600.0,6456.0
historical_2019,historical_2019,,36005015500,1280.0,0.0,1280.0
historical_2019,historical_2019,,36005015700,1748.0,4400.0,6148.0
historical_2019,historical_2019,,36005015800,4142.0,800.0,4942.0
historical_2019,historical_2019,,36005015900,1582.0,0.0,1582.0
historical_2019,historical_2019,,36005016000,9176.0,10800.0,19976.0
historical_2019,historical_2019,,36005016100,172.0,0.0,172.0
historical_2019,historical_2019,,36005016200,7558.0,1000.0,8558.0
historical_2019,historical_2019,,36005016300,1002.0,4400.0,5402.0
historical_2019,historical_2019,,36005016400,5476.0,3400.0,8876.0
historical_2019,historical_2019,,36005016500,832.0,0.0,832.0
historical_2019,historical_2019,,36005016600,2536.0,3400.0,5936.0
historical_2019,historical_2019,,36005016700,140.0,400.0,540.0
historical_2019,historical_2019,,36005016900,344.0,800.0,1144.0
historical_2019,historical_2019,,36005017100,4010.0,1000.0,5010.0
historical_2019,historical_2019,,36005017300,680.0,1800.0,2480.0
historical_2019,historical_2019,,36005017500,180.0,0.0,180.0
historical_2019,historical_2019,,36005017701,1804.0,2400.0,4204.0
historical_2019,historical_2019,,36005017702,2840.0,2800.0,5640.0
historical_2019,historical_2019,,36005017901,0.0,800.0,800.0
historical_2019,historical_2019,,36005017902,0.0,400.0,400.0
historical_2019,historical_2019,,36005018101,2544.0,400.0,2944.0
historical_2019,historical_2019,,36005018102,744.0,800.0,1544.0
historical_2019,historical_2019,,36005018301,628.0,800.0,1428.0
historical_2019,historical_2019,,36005018302,272.0,1000.0,1272.0
historical_2019,historical_2019,,36005018400,9920.0,5000.0,14920.0
historical_2019,historical_2019,,36005018501,26.0,0.0,26.0
historical_2019,historical_2019,,36005018502,618.0,1800.0,2418.0
historical_2019,historical_2019,,36005018900,2478.0,3000.0,5478.0
historical_2019,historical_2019,,36005019300,108.0,0.0,108.0
historical_2019,historical_2019,,36005019400,1814.0,3200.0,5014.0
historical_2019,historical_2019,,36005019500,318.0,1200.0,1518.0
historical_2019,historical_2019,,36005019700,1526.0,1200.0,2726.0
historical_2019,historical_2019,,36005019900,2780.0,2400.0,5180.0
historical_2019,historical_2019,,36005020000,1532.0,5000.0,6532.0
historical_2019,historical_2019,,36005020100,1620.0,8400.0,10020.0
historical_2019,historical_2019,,36005020200,3000.0,800.0,3800.0
historical_2019,historical_2019,,36005020400,4876.0,800.0,5676.0
historical_2019,historical_2019,,36005020501,2002.0,6800.0,8802.0
historical_2019,historical_2019,,36005020502,908.0,400.0,1308.0
historical_2019,historical_2019,,36005020601,1574.0,2200.0,3774.0
historical_2019,historical_2019,,36005020900,224.0,0.0,224.0
historical_2019,historical_2019,,36005021002,64.0,0.0,64.0
historical_2019,historical_2019,,36005021100,136.0,1800.0,1936.0
historical_2019,historical_2019,,36005021200,248.0,0.0,248.0
historical_2019,historical_2019,,36005021301,8.0,0.0,8.0
historical_2019,historical_2019,,36005021501,1312.0,0.0,1312.0
historical_2019,historical_2019,,36005021502,2234.0,5200.0,7434.0
historical_2019,historical_2019,,36005021601,560.0,1400.0,1960.0
historical_2019,historical_2019,,36005021602,3060.0,400.0,3460.0
historical_2019,historical_2019,,36005021700,1260.0,0.0,1260.0
historical_2019,historical_2019,,36005021800,1936.0,5000.0,6936.0
historical_2019,historical_2019,,36005021900,1852.0,4600.0,6452.0
historical_2019,historical_2019,,36005022000,0.0,2000.0,2000.0
historical_2019,historical_2019,,36005022101,24.0,0.0,24.0
