setting_id,policy_id,budget_group,n_seeds,objective,efficiency_ratio_historical,equity_ratio_historical
d100_delay_median_cap1,candidate_d100_delay_median_cap1_borough_3a64bdaa3e1c3693,borough,25,delay_median,0.8040762773741448,0.7642090670367522
d100_delay_median_cap1,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,borough,25,delay_median,0.8083578426386839,0.4468030734702343
d100_delay_median_cap1,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,borough,25,delay_median,0.9023499870093312,0.42611851127066275
d100_delay_median_cap1,candidate_d100_delay_median_cap1_borough_ae9ecb22e3928308,borough,25,delay_median,0.8224472779625922,0.4459003535169358
d100_delay_median_cap1,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,borough,25,delay_median,0.7998005783131473,0.8247416298644634
d100_delay_median_cap1,candidate_d100_delay_median_cap1_borough_e4facaacd4b5abb0,borough,25,delay_median,0.8058863519696952,0.5108747791706472
d100_delay_median_cap1,candidate_d100_delay_median_cap1_city_434b2a9b9ba6f732,city,25,delay_median,0.8028197648345865,0.26374713404855815
d100_delay_median_cap1,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,city,25,delay_median,0.7641755253526736,0.3106274360668492
d100_delay_median_cap1,candidate_d100_delay_median_cap1_city_90a5f1430078c07d,city,25,delay_median,0.7619299825893776,0.4141003072093163
d100_delay_median_cap1,candidate_d100_delay_median_cap1_city_9df8d9895369c391,city,25,delay_median,0.7592787151942345,0.4232400732009128
d100_delay_median_cap1,candidate_d100_delay_median_cap1_city_a429951251cca526,city,25,delay_median,0.8042469072402911,0.2510825778363991
d100_delay_median_cap1,candidate_d100_delay_median_cap1_city_b3b4deeaed1fca64,city,25,delay_median,0.7964370527897823,0.30593107530643293
d100_delay_75_cap1,candidate_d100_delay_75_cap1_borough_3da40031d57e37ec,borough,25,delay_75,0.4731538218329684,0.10234763844385268
d100_delay_75_cap1,candidate_d100_delay_75_cap1_borough_c716dc31c34a1fa7,borough,25,delay_75,0.4728261233277383,0.1649943777038466
d100_delay_75_cap1,candidate_d100_delay_75_cap1_borough_f86f8b9fa8670c07,borough,25,delay_75,0.470972373681769,0.23322165405450623
d100_delay_75_cap1,candidate_d100_delay_75_cap1_city_2e846b8cb1b440b5,city,25,delay_75,0.46391855622556466,0.16060202785001293
d100_delay_75_cap1,candidate_d100_delay_75_cap1_city_4248a63ab4f5f9df,city,25,delay_75,0.4649100835531271,0.15308975163542354
d100_delay_75_cap1,candidate_d100_delay_75_cap1_city_65af139fbd40ee72,city,25,delay_75,0.44812646167367787,0.20624804322269868
d100_delay_75_cap1,candidate_d100_delay_75_cap1_city_7b31c9e7eca3c529,city,25,delay_75,0.4577677686798866,0.17580506312736863
d100_delay_75_cap1,candidate_d100_delay_75_cap1_city_831e524843bcb53f,city,25,delay_75,0.464801539802686,0.16110363209339443
d100_delay_75_cap1,candidate_d100_delay_75_cap1_city_ae8cbf509f7da86a,city,25,delay_75,0.45129996947032053,0.1906974005389187
d100_delay_75_cap1,candidate_d100_delay_75_cap1_city_bb8dc0a0235e443d,city,25,delay_75,0.4458680522435977,0.2228665622646896
d100_delay_75_cap1,candidate_d100_delay_75_cap1_city_bdd5f84e1fb98372,city,25,delay_75,0.46107721478665803,0.16946682755262238
d100_delay_75_cap1,candidate_d100_delay_75_cap1_city_e9cfa1b0f1244f2e,city,25,delay_75,0.45877016330283,0.1733705967661691
