setting_id,budget_group,policy_id,efficiency_ratio_historical,equity_ratio_historical
d100_delay_median_cap1,borough,search_arm0_index0,2.3828490771752913,4.076191243082695
d100_delay_median_cap1,borough,search_arm0_index1,2.105431285127741,3.189996517585602
d100_delay_median_cap1,borough,search_arm0_index2,2.0034793229520855,3.1688247596099552
d100_delay_median_cap1,borough,search_arm0_index3,2.0486529880344957,2.4042777623023976
d100_delay_median_cap1,borough,search_arm0_index4,1.7936826818327194,3.131372747392476
d100_delay_median_cap1,borough,search_arm0_index5,2.716462443771558,3.9185668253188033
d100_delay_median_cap1,borough,search_arm0_index6,2.3309403624159057,3.1386703715941424
d100_delay_median_cap1,borough,search_arm0_index7,2.375543932233006,3.93034637479291
d100_delay_median_cap1,borough,search_arm0_index8,2.4105307529670963,3.663156998275577
d100_delay_median_cap1,borough,search_arm0_index9,2.034472472267389,2.4831148479128773
d100_delay_median_cap1,borough,search_arm0_index10,2.3548843229567553,2.708319334170293
d100_delay_median_cap1,borough,search_arm0_index11,2.1116020862538987,3.238426992991688
d100_delay_median_cap1,borough,search_arm0_index12,1.818673041859187,2.165596614354256
d100_delay_median_cap1,borough,search_arm0_index13,2.542240705419097,3.6466831302687477
d100_delay_median_cap1,borough,search_arm0_index14,2.167841064537293,3.1674115614938168
d100_delay_median_cap1,borough,search_arm0_index15,2.454473644046418,3.0814038998209092
d100_delay_median_cap1,borough,search_arm0_index16,1.679414859189393,3.1645551419681803
d100_delay_median_cap1,borough,search_arm0_index17,2.140918405972874,2.6940936289449677
d100_delay_median_cap1,borough,search_arm0_index18,1.8538899145677268,2.4510315087536805
d100_delay_median_cap1,borough,search_arm0_index19,2.548427503805744,3.9574754294863643
d100_delay_median_cap1,borough,search_arm0_index20,2.0766058052109413,2.9597075587314583
d100_delay_median_cap1,borough,search_arm0_index21,2.786233967567869,4.70317439139475
d100_delay_median_cap1,borough,search_arm0_index22,2.529215890216892,3.505158093812225
d100_delay_median_cap1,borough,search_arm0_index23,1.439959134713864,3.3530257586585
d100_delay_median_cap1,borough,search_arm0_index24,2.525021116180836,3.8703176940553976
d100_delay_median_cap1,borough,search_arm0_index25,2.6340741567220745,3.590625761786079
d100_delay_median_cap1,borough,search_arm0_index26,1.8717525205937326,3.091880049587175
d100_delay_median_cap1,borough,search_arm0_index27,1.8502748179124007,2.8482650820686053
d100_delay_median_cap1,borough,search_arm0_index28,1.8696195660625343,2.7850946158399594
d100_delay_median_cap1,borough,search_arm0_index29,2.3745029734400402,3.87196079429953
d100_delay_median_cap1,borough,search_arm0_index30,3.197448867335084,4.105330869044712
d100_delay_median_cap1,borough,search_arm0_index31,2.0783492223890025,3.1859699807816986
d100_delay_median_cap1,borough,search_arm0_index32,2.1992420627907086,3.440311364142853
