BoroughCode,SRCategory,recorded_risk_mean,RiskRating
Bronx,Hazard,6.959076771975774,7.346208772707205
Bronx,Illegal Tree Damage,5.914736842105263,6.243772428651036
Bronx,Other,6.859375,7.240960611788449
Bronx,Prune,5.419049666738336,5.720510278294686
Bronx,Remove Tree,6.687593423019432,7.059622861228492
Bronx,Root/Sewer/Sidewalk,5.257214554579674,5.549672312336383
Brooklyn,Hazard,6.819794763594515,7.19917853502236
Brooklyn,Illegal Tree Damage,5.177187753996207,5.4651936373969985
Brooklyn,Other,6.193548387096774,6.538094202193876
Brooklyn,Prune,6.618290258449304,6.986464375954748
Brooklyn,Remove Tree,6.728508042151969,7.102813552156606
Brooklyn,Root/Sewer/Sidewalk,4.544968152866241,4.797803790686084
Manhattan,Hazard,7.006486486486486,7.396255879825303
Manhattan,Illegal Tree Damage,5.4566428003182175,5.760194710116189
Manhattan,Other,6.181818181818182,6.5257114480230545
Manhattan,Prune,6.40977550440466,6.766349989292112
Manhattan,Remove Tree,5.846815162172724,6.172072279719389
Manhattan,Root/Sewer/Sidewalk,5.135416666666667,5.4210988331233185
Queens,Hazard,7.361006458557589,7.770497724579263
Queens,Illegal Tree Damage,6.689509007417874,7.061645009190613
Queens,Other,7.674676524953789,8.101617191859
Queens,Prune,7.155068358172189,7.553103330285728
Queens,Remove Tree,7.212503088707683,7.613733142995515
Queens,Root/Sewer/Sidewalk,4.244147682639435,4.48024873995158
Staten Island,Hazard,7.436101295641933,7.849770071910675
Staten Island,Illegal Tree Damage,6.469072164948454,6.828945310791257
Staten Island,Other,7.745247148288973,8.176113644366616
Staten Island,Prune,6.669824463638896,7.040865418314681
Staten Island,Remove Tree,7.14105184909868,7.538307085713001
Staten Island,Root/Sewer/Sidewalk,4.445852951829047,4.693174831525837
