weight_id,weight_label,weight_family,power_exponent,display_role,policy_label,policy_id,weight_Hazard,weight_Illegal Tree Damage,weight_Remove Tree,weight_Other,weight_Prune,weight_Root/Sewer/Sidewalk,efficiency_relative_to_historical,efficiency_sem_relative_to_historical,equity_relative_to_historical,equity_sem_relative_to_historical,improves_efficiency,improves_equity,improves_both
assigned,Assigned,named,1.0,most_efficient,Most Efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,10.0,8.0,8.0,6.0,4.0,4.0,0.7998005783131473,0.0007402574547504509,0.8247416298644634,0.003377698041189387,True,True,True
equal,Equal,named,0.0,most_efficient,Most Efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,1.0210170229825224,0.0005161599448721612,0.8579899558829942,0.0024754464084824693,False,True,False
power_0p25,Ordered power $\eta=0.25$,named,0.25,most_efficient,Most Efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,7.459713241907281,7.054961204103688,7.054961204103688,6.565381177315692,5.932491586284822,5.932491586284822,0.9682261282675821,0.0005598262504698257,0.8492755516906645,0.002688902803438279,True,True,True
power_0p50,Ordered power $\eta=0.5$,named,0.5,most_efficient,Most Efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,8.28438278752481,7.409777225813869,7.409777225813869,6.417055313938193,5.2395037234546304,5.2395037234546304,0.9130814410575696,0.0006130294752760141,0.8407980913966051,0.002914407047504905,True,True,True
power_0p75,Ordered power $\eta=0.75$,named,0.75,most_efficient,Most Efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,9.133520315323704,7.726017532379106,7.726017532379106,6.226609599777079,4.5939175100705,4.5939175100705,0.8565772970124707,0.0006739049839609052,0.8326092560563503,0.003145934062265512,True,True,True
power_1p25,Ordered power $\eta=1.25$,named,1.25,most_efficient,Most Efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,10.877042594524774,8.22949741163355,8.22949741163355,5.74380770942575,3.4600774363911877,3.4600774363911877,0.743844382498323,0.0008098546756492024,0.8172069018558202,0.0036044196364073255,True,True,True
power_1p50,Ordered power $\eta=1.5$,named,1.5,most_efficient,Most Efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,11.758460297413002,8.41366929143932,8.41366929143932,5.4648385090706,2.974681305318878,2.974681305318878,0.6897213242647945,0.0008806349296373762,0.8099959063425457,0.0038215238022266413,True,True,True
power_2p00,Ordered power $\eta=2$,named,2.0,most_efficient,Most Efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,13.513513513513514,8.64864864864865,8.64864864864865,4.864864864864865,2.1621621621621623,2.1621621621621623,0.5902101337178278,0.0010190597791052177,0.7964163562737153,0.004212814088372013,True,True,True
assigned,Assigned,named,1.0,balanced,Balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,10.0,8.0,8.0,6.0,4.0,4.0,0.8083578426386838,0.0008088139176238449,0.4468030734702343,0.0024926827077898232,True,True,True
equal,Equal,named,0.0,balanced,Balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,1.0257923136297542,0.0005247043895179428,0.5894314837704502,0.0025402390206806934,False,True,False
